,ped_phasing,control_type,penetration,fuel_consumption,waiting_time,time_loss,queue_length,pedestrian_time_loss,right_turn_conflicts,cavs_passing,pedestrians_passing,simulation_termination_time,phase_lengths,phase_occurrences
14,Exclusive,actuated,0.8,205.04437002603976,310.8429203539823,340.8139380530972,32.7632407792373,886.0980076628351,12,226,261,2914.0,"{6: 10.0, 7: 5.0, 0: 32.833333333333336, 1: 5.0, 2: 11.166666666666666, 3: 5.0, 4: 26.03448275862069, 5: 5.0}","{6: 60.0, 7: 30.0, 0: 197.0, 1: 20.0, 2: 67.0, 3: 29.0, 4: 151.0, 5: 28.0}"
15,Exclusive,actuated,1.0,205.9979018721581,256.38868613138686,281.10930656934295,32.7632407792373,886.0980076628351,12,274,261,2914.0,"{6: 10.0, 7: 5.0, 0: 32.833333333333336, 1: 5.0, 2: 11.166666666666666, 3: 5.0, 4: 26.03448275862069, 5: 5.0}","{6: 60.0, 7: 30.0, 0: 197.0, 1: 20.0, 2: 67.0, 3: 29.0, 4: 151.0, 5: 28.0}"
16,Exclusive,fixed_time,0.2,102.32435827029812,224.81147540983608,307.0026229508198,16.647830549898753,876.5903448275865,15,61,261,2882.0,"{0: 30.0, 1: 5.0, 2: 10.0, 3: 5.0, 4: 30.0, 5: 5.0, 6: 10.0, 7: 5.0}","{0: 174.0, 1: 29.0, 2: 58.0, 3: 29.0, 4: 174.0, 5: 28.0, 6: 56.0, 7: 28.0}"
17,Exclusive,fixed_time,0.5,102.4577791144314,90.817880794702,124.02092715231792,16.647830549898753,876.5903448275865,15,151,261,2882.0,"{0: 30.0, 1: 5.0, 2: 10.0, 3: 5.0, 4: 30.0, 5: 5.0, 6: 10.0, 7: 5.0}","{0: 174.0, 1: 29.0, 2: 58.0, 3: 29.0, 4: 174.0, 5: 28.0, 6: 56.0, 7: 28.0}"
18,Exclusive,fixed_time,0.8,100.60052482928388,60.67920353982301,82.86353982300888,16.647830549898753,876.5903448275865,15,226,261,2882.0,"{0: 30.0, 1: 5.0, 2: 10.0, 3: 5.0, 4: 30.0, 5: 5.0, 6: 10.0, 7: 5.0}","{0: 174.0, 1: 29.0, 2: 58.0, 3: 29.0, 4: 174.0, 5: 28.0, 6: 56.0, 7: 28.0}"
19,Exclusive,fixed_time,1.0,103.21982985868227,50.0492700729927,68.34729927007302,16.647830549898753,876.5903448275865,15,274,261,2882.0,"{0: 30.0, 1: 5.0, 2: 10.0, 3: 5.0, 4: 30.0, 5: 5.0, 6: 10.0, 7: 5.0}","{0: 174.0, 1: 29.0, 2: 58.0, 3: 29.0, 4: 174.0, 5: 28.0, 6: 56.0, 7: 28.0}"
20,Exclusive,multi_scale,0.2,63.99715434855447,136.2295081967213,196.75934426229517,11.123580638559073,70.73977011494252,0,61,261,805.5,"{0: 12.5, -1: 7.9523809523809526, 4: 8.0, 6: 6.0, 8: 20.0, 5: 6.666666666666667, 3: 7.0, 2: 10.0, 7: 5.0}","{0: 30.0, -1: 66.8, 4: 16.0, 6: 6.0, 8: 20.0, 5: 4.0, 3: 7.0, 2: 2.0, 7: 1.0}"
21,Exclusive,multi_scale,0.5,62.64454111499628,41.25496688741722,65.98066225165567,10.14576273291922,58.14206896551724,1,151,261,967.0,"{0: 11.666666666666666, -1: 8.052631578947368, 4: 7.5, 6: 10.0, 8: 20.0, 7: 5.0, 3: 7.5, 5: 7.5}","{0: 28.0, -1: 61.2, 4: 15.0, 6: 6.0, 8: 20.0, 7: 2.0, 3: 6.0, 5: 3.0}"
22,Exclusive,multi_scale,0.8,62.149159383790526,28.148230088495577,44.69265486725665,9.625773135721795,59.17655172413794,0,226,261,818.5,"{0: 10.833333333333334, -1: 8.116279069767442, 4: 7.0, 6: 5.0, 8: 20.0, 7: 5.0, 3: 5.0, 5: 5.0, 2: 10.0, 1: 5.0}","{0: 26.0, -1: 69.8, 4: 14.0, 6: 4.0, 8: 24.0, 7: 1.0, 3: 4.0, 5: 3.0, 2: 2.0, 1: 2.0}"
23,Exclusive,multi_scale,1.0,60.62688219374562,21.638686131386866,35.777335766423384,9.598533665835363,53.37003831417626,1,274,261,791.5,"{0: 9.166666666666666, -1: 8.090909090909092, 4: 6.875, 7: 5.0, 2: 5.0, 5: 5.0, 8: 20.0, 3: 5.0, 6: 5.0, 1: 5.0}","{0: 22.0, -1: 71.2, 4: 11.0, 7: 1.0, 2: 3.0, 5: 5.0, 8: 24.0, 3: 4.0, 6: 4.0, 1: 1.0}"
